,Unnamed: 0,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,Date
0,2015-12-01 00:00:00,673.75,681.0,667.86,679.06,4751152.0,0.0,1.0,673.75,681.0,667.86,679.06,4751152.0,
1,2015-12-02 00:00:00,681.0,684.82,674.25,676.01,4273526.0,0.0,1.0,681.0,684.82,674.25,676.01,4273526.0,
2,2015-12-03 00:00:00,679.44,682.79,661.48,666.25,5064736.0,0.0,1.0,679.44,682.79,661.48,666.25,5064736.0,
3,2015-12-04 00:00:00,666.0,674.775,661.4,672.64,4534796.0,0.0,1.0,666.0,674.775,661.4,672.64,4534796.0,
4,2015-12-07 00:00:00,674.74,675.46,660.5,669.83,3732814.0,0.0,1.0,674.74,675.46,660.5,669.83,3732814.0,
5,2015-12-08 00:00:00,663.13,679.99,659.79,677.33,3651908.0,0.0,1.0,663.13,679.99,659.79,677.33,3651908.0,
6,2015-12-09 00:00:00,678.0,679.0,655.68,664.79,5158172.0,0.0,1.0,678.0,679.0,655.68,664.79,5158172.0,
7,2015-12-10 00:00:00,665.59,668.5260000000001,659.56,662.32,3455472.0,0.0,1.0,665.59,668.5260000000001,659.56,662.32,3455472.0,
8,2015-12-11 00:00:00,651.23,657.88,639.62,640.15,5474420.0,0.0,1.0,651.23,657.88,639.62,640.15,5474420.0,
9,2015-12-14 00:00:00,641.75,658.585,635.27,657.91,4361273.0,0.0,1.0,641.75,658.585,635.27,657.91,4361273.0,
10,2015-12-15 00:00:00,665.03,671.5,657.35,658.64,4753415.0,0.0,1.0,665.03,671.5,657.35,658.64,4753415.0,
11,2015-12-16 00:00:00,663.56,677.35,659.32,675.77,3964470.0,0.0,1.0,663.56,677.35,659.32,675.77,3964470.0,
12,2015-12-17 00:00:00,680.0,682.5,670.65,670.65,3681645.0,0.0,1.0,680.0,682.5,670.65,670.65,3681645.0,
13,2015-12-18 00:00:00,668.65,676.84,664.13,664.14,6841304.0,0.0,1.0,668.65,676.84,664.13,664.14,6841304.0,
14,2015-12-21 00:00:00,668.5,669.9,658.93,664.51,3250900.0,0.0,1.0,668.5,669.9,658.93,664.51,3250900.0,
15,2015-12-22 00:00:00,666.83,668.49,659.26,663.15,2667795.0,0.0,1.0,666.83,668.49,659.26,663.15,2667795.0,
16,2015-12-23 00:00:00,666.5,666.597,656.63,663.7,2722922.0,0.0,1.0,666.5,666.597,656.63,663.7,2722922.0,
17,2015-12-24 00:00:00,663.35,664.68,660.6,662.79,1092970.0,0.0,1.0,663.35,664.68,660.6,662.79,1092970.0,
18,2015-12-28 00:00:00,665.56,675.5,665.5,675.2,3783555.0,0.0,1.0,665.56,675.5,665.5,675.2,3783555.0,
19,2015-12-29 00:00:00,677.98,696.44,677.8893,693.97,5734996.0,0.0,1.0,677.98,696.44,677.8893,693.97,5734996.0,
20,2015-12-30 00:00:00,691.89,695.49,686.375,689.07,3519003.0,0.0,1.0,691.89,695.49,686.375,689.07,3519003.0,
21,2015-12-31 00:00:00,686.08,687.75,675.89,675.89,3749560.0,0.0,1.0,686.08,687.75,675.89,675.89,3749560.0,
22,0,656.29,657.715,627.51,636.99,9314519.0,0.0,1.0,656.29,657.715,627.51,636.99,9314519.0,2016-01-04
23,1,646.86,646.91,627.65,633.79,5822603.0,0.0,1.0,646.86,646.91,627.65,633.79,5822603.0,2016-01-05
24,2,622.0,639.79,620.31,632.65,5329197.0,0.0,1.0,622.0,639.79,620.31,632.65,5329197.0,2016-01-06
25,3,621.8,630.0,605.21,607.94,7074915.0,0.0,1.0,621.8,630.0,605.21,607.94,7074915.0,2016-01-07
26,4,619.66,624.14,606.0,607.05,5512915.0,0.0,1.0,619.66,624.14,606.0,607.05,5512915.0,2016-01-08
27,5,612.48,619.85,598.57,617.74,4891551.0,0.0,1.0,612.48,619.85,598.57,617.74,4891551.0,2016-01-11
28,6,625.25,625.99,612.2415,617.89,4724100.0,0.0,1.0,625.25,625.99,612.2415,617.89,4724100.0,2016-01-12
29,7,620.88,620.88,579.16,581.81,7655239.0,0.0,1.0,620.88,620.88,579.16,581.81,7655239.0,2016-01-13
30,8,580.25,602.25,569.88,593.0,7237978.0,0.0,1.0,580.25,602.25,569.88,593.0,7237978.0,2016-01-14
31,9,572.24,584.62,565.3,570.18,7784523.0,0.0,1.0,572.24,584.62,565.3,570.18,7784523.0,2016-01-15
32,10,577.09,584.0,566.45,574.48,4807165.0,0.0,1.0,577.09,584.0,566.45,574.48,4807165.0,2016-01-19
33,11,564.36,578.45,547.18,571.77,7966406.0,0.0,1.0,564.36,578.45,547.18,571.77,7966406.0,2016-01-20
34,12,573.58,588.81,568.22,575.02,4952217.0,0.0,1.0,573.58,588.81,568.22,575.02,4952217.0,2016-01-21
35,13,588.73,600.1,584.1079,596.38,5120144.0,0.0,1.0,588.73,600.1,584.1079,596.38,5120144.0,2016-01-22
36,14,597.99,608.5,594.56,596.53,4396079.0,0.0,1.0,597.99,608.5,594.56,596.53,4396079.0,2016-01-25
37,15,603.45,604.5,590.38,601.25,3765655.0,0.0,1.0,603.45,604.5,590.38,601.25,3765655.0,2016-01-26
38,16,601.99,603.39,578.78,583.35,5152853.0,0.0,1.0,601.99,603.39,578.78,583.35,5152853.0,2016-01-27
39,17,608.37,638.06,597.55,635.35,14015171.0,0.0,1.0,608.37,638.06,597.55,635.35,14015171.0,2016-01-28
40,18,571.98,593.0,570.0,587.0,14677550.0,0.0,1.0,571.98,593.0,570.0,587.0,14677550.0,2016-01-29
41,19,578.15,581.8,570.31,574.81,6355123.0,0.0,1.0,578.15,581.8,570.31,574.81,6355123.0,2016-02-01
2016-02-01 00:00:00,,578.15,581.8,570.31,574.81,6355123.0,0.0,1.0,578.15,581.8,570.31,574.81,6355123.0,
2016-02-02 00:00:00,,570.0,571.56,550.09,552.1,6312045.0,0.0,1.0,570.0,571.56,550.09,552.1,6312045.0,
2016-02-03 00:00:00,,553.5,556.0,521.9,531.07,10048709.0,0.0,1.0,553.5,556.0,521.9,531.07,10048709.0,
2016-02-04 00:00:00,,525.0,538.99,519.2201,536.26,6199070.0,0.0,1.0,525.0,538.99,519.2201,536.26,6199070.0,
2016-02-05 00:00:00,,529.28,529.45,499.19,502.13,9708929.0,0.0,1.0,529.28,529.45,499.19,502.13,9708929.0,
